gamelabel,gamedate,versus,guestteam,hometeam,scoreoverall,score1st,score2nd,score3rd,score4th,extratime,guesttp,hometp
13-14_01-01_CHA-LAC,01-01,CHA-LAC,CHA,LAC,85-112,27-25,29-31,13-25,16-31,,"Anthony Tolliver;F;2221;4;11;3;10;0;0;0;3;3;1;0;0;0;1;11;
Josh McRoberts;F;1690;4;8;2;4;0;0;0;3;3;4;1;0;0;2;10;
Al Jefferson;C;1800;7;15;0;0;0;0;1;11;12;4;1;0;3;0;14;
Gerald Henderson;G;1939;3;11;0;1;6;6;0;0;0;1;0;0;0;3;12;
Kemba Walker;G;1993;4;10;1;4;5;5;0;7;7;3;2;0;5;1;14;
Cody Zeller;null;1190;0;6;0;0;6;6;3;1;4;1;2;0;1;3;6;
Chris Douglas-Roberts;null;1046;1;1;0;0;0;0;1;1;2;0;0;0;2;0;2;
Ramon Sessions;null;1302;3;9;0;2;2;2;1;1;2;4;1;0;2;3;8;
Bismack Biyombo;null;1056;3;5;0;0;2;3;1;4;5;1;0;1;2;0;8;
Jannero Pargo;null;163;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;","Jared Dudley;F;1960;7;10;6;9;0;0;0;1;1;5;0;0;1;2;20;
Blake Griffin;F;2287;14;20;1;2;2;4;2;10;12;2;0;0;4;4;31;
DeAndre Jordan;C;2191;3;4;0;0;0;0;3;9;12;2;1;1;3;3;6;
Jamal Crawford;G;2120;5;14;1;8;0;0;0;2;2;4;2;2;0;2;11;
Chris Paul;G;1943;7;14;1;4;2;2;0;4;4;14;1;0;3;1;17;
Darren Collison;null;968;3;3;0;0;2;2;1;2;3;5;5;0;0;2;8;
Matt Barnes;null;1172;2;10;0;6;0;0;1;4;5;2;0;0;0;2;4;
Antawn Jamison;null;262;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;
Willie Green;null;760;2;3;0;1;0;0;0;2;2;2;0;0;1;1;4;
Ryan Hollins;null;655;2;3;0;0;1;2;1;2;3;0;0;0;1;3;5;
Byron Mullens;null;82;2;2;2;2;0;0;0;0;0;0;0;0;0;0;6;"
13-14_01-01_DAL-WAS,01-01,DAL-WAS,DAL,WAS,87-78,25-20,14-22,20-19,28-17,,"Shawn Marion;F;1809;4;7;0;1;1;2;4;5;9;4;1;1;4;0;9;
Dirk Nowitzki;F;1899;3;14;0;4;3;3;1;4;5;4;1;0;2;2;9;
Samuel Dalembert;C;1083;1;3;0;0;0;0;3;4;7;0;1;0;1;2;2;
Monta Ellis;G;2247;7;18;0;2;9;10;2;3;5;1;1;2;1;2;23;
Jose Calderon;G;1960;3;14;3;10;2;2;0;6;6;3;2;0;0;1;11;
Vince Carter;null;1685;4;10;3;7;2;2;0;0;0;3;1;0;0;0;13;
Brandan Wright;null;1091;5;7;0;0;0;0;1;2;3;1;2;0;3;2;10;
Jae Crowder;null;1076;1;2;0;0;2;2;0;3;3;0;0;0;1;0;4;
Shane Larkin;null;709;1;2;0;0;0;0;0;1;1;1;1;0;2;0;2;
DeJuan Blair;null;842;1;1;0;0;2;2;1;4;5;1;2;0;1;3;4;","Trevor Ariza;F;2035;3;14;1;7;1;1;1;3;4;2;2;1;0;3;8;
Trevor Booker;F;1802;5;9;0;0;0;0;7;12;19;1;1;1;1;0;10;
Marcin Gortat;C;1604;6;11;0;0;0;0;0;5;5;2;0;2;1;2;12;
Bradley Beal;G;1780;4;13;2;5;0;1;1;1;2;3;3;0;2;2;10;
John Wall;G;2509;8;18;1;6;5;5;3;4;7;5;1;0;7;3;22;
Kevin Seraphin;null;876;1;5;0;0;0;0;1;2;3;0;0;1;2;2;2;
Martell Webster;null;1326;3;9;1;6;1;1;0;1;1;2;0;0;1;2;8;
Garrett Temple;null;371;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;
Nene;null;1432;2;7;0;0;0;2;2;1;3;1;2;1;2;6;4;
Otto Porter;null;665;1;2;0;0;0;0;0;1;1;1;0;0;1;0;2;"
13-14_01-01_IND-TOR,01-01,IND-TOR,IND,TOR,82-95,18-26,26-14,19-26,19-29,,"Paul George;F;2190;5;14;0;3;2;2;0;8;8;3;1;1;6;5;12;
David West;F;1885;3;9;0;1;3;4;1;6;7;2;1;0;2;2;9;
Roy Hibbert;C;1278;6;10;0;0;4;5;2;1;3;0;0;1;4;6;16;
Lance Stephenson;G;2060;4;9;0;1;0;1;1;5;6;4;0;0;3;3;8;
George Hill;G;1866;2;6;2;4;0;0;0;1;1;2;0;0;2;4;6;
Danny Granger;null;1358;4;7;1;2;2;2;0;2;2;3;1;0;1;1;11;
Luis Scola;null;1224;3;10;0;0;1;2;1;3;4;1;1;0;2;2;7;
Ian Mahinmi;null;1297;2;2;0;0;1;4;2;1;3;0;3;1;1;4;5;
CJ Watson;null;1014;3;7;2;3;0;0;0;1;1;1;1;0;1;0;8;
Orlando Johnson;null;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Rasual Butler;null;76;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;
Donald Sloan;null;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;","Terrence Ross;F;2293;6;12;2;5;4;4;1;3;4;2;3;0;3;4;18;
Amir Johnson;F;1935;3;5;0;0;0;0;1;4;5;1;0;2;2;1;6;
Jonas Valanciunas;C;1883;5;10;0;0;3;4;4;5;9;2;1;1;1;4;13;
DeMar DeRozan;G;2344;9;24;0;1;8;9;2;7;9;3;3;0;3;1;26;
Kyle Lowry;G;2013;4;9;1;4;4;4;0;4;4;14;2;1;1;3;13;
John Salmons;null;1123;2;6;1;4;0;0;0;0;0;2;0;0;2;2;5;
Patrick Patterson;null;987;1;4;1;1;0;0;0;2;2;1;2;0;2;1;3;
Tyler Hansbrough;null;955;2;2;0;0;1;2;1;5;6;0;1;0;2;2;5;
Greivis Vasquez;null;867;2;6;2;4;0;0;0;0;0;2;0;0;1;0;6;"
13-14_01-01_NOP-MIN,01-01,NOP-MIN,NOP,MIN,112-124,28-33,19-28,26-36,39-27,,"Al-Farouq Aminu;F;820;2;6;0;1;0;0;1;1;2;2;1;0;1;1;4;
Ryan Anderson;F;2429;10;17;2;8;3;3;4;1;5;2;0;0;0;3;25;
Anthony Davis;C;2002;5;9;0;0;3;6;3;3;6;0;1;4;1;4;13;
Eric Gordon;G;1751;5;12;0;4;2;2;1;4;5;3;2;0;4;2;12;
Jrue Holiday;G;1334;8;14;1;2;2;4;1;2;3;5;2;0;4;4;19;
Tyreke Evans;null;1673;6;14;1;1;3;4;0;7;7;3;0;0;1;3;16;
Greg Stiemsma;null;385;0;0;0;0;0;0;0;1;1;0;0;0;3;2;0;
Brian Roberts;null;883;1;3;1;1;0;0;2;3;5;4;0;0;0;1;3;
Anthony Morrow;null;883;3;4;1;2;0;0;0;1;1;0;2;0;0;0;7;
Alexis Ajinca;null;701;1;3;0;0;0;0;1;1;2;0;1;1;2;3;2;
Austin Rivers;null;950;2;3;0;1;0;0;0;0;0;0;1;0;1;2;4;
Darius Miller;null;451;1;1;0;0;1;1;0;0;0;1;0;0;0;0;3;
Jeff Withey;null;138;1;1;0;0;2;2;0;0;0;0;0;0;0;0;4;","Corey Brewer;F;1391;2;4;1;1;0;0;2;3;5;4;4;1;1;4;5;
Kevin Love;F;2090;7;19;1;7;6;8;2;4;6;3;1;1;2;2;21;
Nikola Pekovic;C;2031;7;12;0;0;8;11;3;4;7;0;1;0;1;3;22;
Kevin Martin;G;1888;8;14;0;3;4;5;1;2;3;3;0;0;1;2;20;
Ricky Rubio;G;1976;4;6;1;1;5;6;1;7;8;9;3;2;3;1;14;
Dante Cunningham;null;1363;5;6;0;0;0;0;1;3;4;0;0;1;1;4;10;
Jose Juan Barea;null;1082;7;9;3;5;0;0;0;0;0;5;0;0;2;0;17;
Alexey Shved;null;992;2;4;2;4;4;4;0;3;3;2;1;1;1;3;10;
Luc Mbah a Moute;null;910;1;1;0;0;1;1;0;1;1;0;0;0;2;0;3;
Robbie Hummel;null;264;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;
Gorgui Dieng;null;138;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;
Shabazz Muhammad;null;138;1;1;0;0;0;0;0;0;0;0;0;0;1;0;2;
A.J. Price;null;138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"
13-14_01-01_PHI-DEN,01-01,PHI-DEN,PHI,DEN,114-102,24-30,44-26,27-25,19-21,,"Evan Turner;F;2420;8;17;1;3;6;8;0;5;5;6;2;1;1;3;23;
Thaddeus Young;F;2403;7;17;1;6;2;3;4;6;10;2;2;1;3;2;17;
Spencer Hawes;C;1901;4;11;2;4;3;4;1;7;8;4;2;1;1;4;13;
Hollis Thompson;G;1020;5;6;1;1;0;0;3;1;4;0;0;0;0;4;11;
Michael Carter-Williams;G;2070;5;15;0;0;6;8;3;6;9;6;2;0;5;4;16;
James Anderson;null;1486;4;7;2;3;2;2;0;4;4;0;1;1;3;2;12;
Lavoy Allen;null;978;6;9;1;1;0;0;0;5;5;3;0;0;1;3;13;
Tony Wroten;null;1182;3;6;1;3;0;3;1;4;5;1;1;0;2;1;7;
Elliot Williams;null;459;0;2;0;2;0;0;1;1;2;0;0;0;1;1;0;
Brandon Davies;null;476;1;2;0;0;0;0;1;0;1;1;0;1;0;1;2;","Wilson Chandler;F;1884;5;13;4;7;2;2;1;6;7;2;3;1;0;6;16;
Kenneth Faried;F;1318;6;9;0;0;0;3;4;2;6;1;1;1;0;2;12;
JJ Hickson;C;1926;7;14;0;0;5;9;4;7;11;0;1;2;1;4;19;
Randy Foye;G;2196;6;17;0;6;2;2;1;3;4;6;0;0;4;2;14;
Ty Lawson;G;2446;4;13;1;5;6;7;1;5;6;11;1;1;4;2;15;
Quincy Miller;null;356;1;5;0;1;0;0;2;0;2;0;0;0;0;1;2;
Timofey Mozgov;null;611;1;2;0;0;2;2;0;2;2;1;0;0;1;2;4;
Nate Robinson;null;788;0;3;0;1;0;0;0;2;2;0;0;0;0;0;0;
Evan Fournier;null;864;3;6;0;3;1;2;0;2;2;1;0;0;2;5;7;
Darrell Arthur;null;1334;2;6;0;1;4;4;2;3;5;0;1;1;1;4;8;
Anthony Randolph;null;452;0;1;0;0;3;4;0;1;1;1;0;1;0;0;3;
Jordan Hamilton;null;222;1;2;0;1;0;0;0;0;0;0;0;1;1;0;2;"
13-14_01-02_BKN-OKC,01-02,BKN-OKC,BKN,OKC,95-93,29-26,15-33,22-18,29-16,,"Joe Johnson;F;1821;4;11;1;6;0;0;1;3;4;0;1;0;1;4;9;
Paul Pierce;F;2049;6;18;1;4;5;5;1;3;4;3;2;1;4;2;18;
Kevin Garnett;C;1572;2;4;0;0;0;0;1;6;7;1;1;0;3;2;4;
Shaun Livingston;G;1987;1;7;0;1;3;4;2;3;5;4;1;0;4;0;5;
Deron Williams;G;2484;10;17;6;9;3;3;0;2;2;4;5;0;4;2;29;
Mason Plumlee;null;673;1;1;0;0;2;2;2;1;3;1;0;1;1;3;4;
Andrei Kirilenko;null;893;3;3;0;0;3;4;2;0;2;1;0;0;0;1;9;
Mirza Teletovic;null;628;1;2;1;2;0;0;0;3;3;0;0;0;0;2;3;
Alan Anderson;null;1335;3;6;0;1;7;9;0;2;2;1;2;0;0;3;13;
Jason Terry;null;274;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;
Reggie Evans;null;684;0;0;0;0;1;4;0;1;1;1;1;0;2;1;1;","Kevin Durant;F;2067;8;13;3;7;5;5;0;4;4;4;0;2;5;5;24;
Serge Ibaka;F;2049;5;9;0;0;0;1;2;9;11;0;2;1;2;1;10;
Kendrick Perkins;C;1040;3;7;0;0;2;2;1;5;6;1;1;0;1;1;8;
Thabo Sefolosha;G;1894;2;3;1;2;3;4;1;3;4;1;1;1;4;1;8;
Reggie Jackson;G;1761;4;13;0;3;1;1;1;2;3;5;0;0;4;4;9;
Steven Adams;null;854;2;3;0;0;3;4;1;0;1;2;2;0;2;3;7;
Jeremy Lamb;null;1185;3;7;1;2;2;2;0;3;3;2;1;1;2;2;9;
Derek Fisher;null;1389;3;6;1;3;0;0;0;0;0;3;0;0;0;4;7;
Perry Jones;null;1810;4;7;3;5;0;0;0;1;1;2;1;1;1;2;11;
Nick Collison;null;351;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;"
13-14_01-02_BOS-CHI,01-02,BOS-CHI,BOS,CHI,82-94,21-24,24-24,17-22,20-24,,"Jeff Green;F;1824;5;18;1;4;0;0;2;3;5;0;0;1;1;4;11;
Brandon Bass;F;1347;3;8;0;0;0;0;1;2;3;0;0;2;3;1;6;
Jared Sullinger;C;1873;5;12;0;2;1;1;6;5;11;1;1;0;3;4;11;
Avery Bradley;G;1778;3;10;0;0;3;6;1;5;6;1;2;1;2;2;9;
Jordan Crawford;G;2285;7;11;0;2;8;10;0;3;3;7;0;0;5;3;22;
Kris Humphries;null;1533;4;10;0;0;1;2;1;10;11;3;2;4;0;5;9;
Kelly Olynyk;null;461;1;1;1;1;0;0;1;0;1;0;0;0;0;1;3;
Courtney Lee;null;1175;3;5;0;1;1;2;0;5;5;2;1;0;1;2;7;
Gerald Wallace;null;1056;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;
Phil Pressey;null;523;0;1;0;1;0;0;0;1;1;0;0;0;1;1;0;
Vitor Faverani;null;546;1;5;0;1;2;2;1;0;1;0;1;0;2;2;4;","Luol Deng;F;1718;6;12;0;2;2;2;1;2;3;3;1;0;1;0;14;
Carlos Boozer;F;1791;8;16;0;0;0;0;0;7;7;0;1;0;1;3;16;
Joakim Noah;C;2039;6;13;0;1;5;6;6;5;11;9;1;1;2;2;17;
Jimmy Butler;G;2009;2;7;0;2;6;8;2;4;6;2;2;1;1;5;10;
Kirk Hinrich;G;1705;2;7;0;3;0;0;0;1;1;4;0;0;1;3;4;
Taj Gibson;null;1641;5;13;0;0;2;4;1;4;5;1;0;2;2;3;12;
Mike Dunleavy;null;1352;4;7;2;2;1;2;1;3;4;2;2;2;0;0;11;
D.J. Augustin;null;1536;1;6;0;3;6;6;0;3;3;4;0;0;4;2;8;
Tony Snell;null;360;0;2;0;2;0;0;0;0;0;1;0;0;1;0;0;
Nazr Mohammed;null;250;1;1;0;0;0;0;1;0;1;0;0;0;0;1;2;"
13-14_01-02_CHA-POR,01-02,CHA-POR,CHA,POR,104-134,21-39,28-31,28-30,27-34,,"Anthony Tolliver;F;1854;1;3;1;3;0;0;1;2;3;2;0;0;0;1;3;
Josh McRoberts;F;1645;3;10;1;3;0;0;1;3;4;0;1;0;3;0;7;
Al Jefferson;C;1728;9;17;0;0;1;2;2;3;5;1;0;1;1;2;19;
Gerald Henderson;G;1443;5;9;1;1;5;6;0;1;1;2;1;0;0;2;16;
Kemba Walker;G;1752;2;10;0;1;2;2;1;2;3;3;3;0;1;0;6;
Ramon Sessions;null;1762;3;8;0;0;8;10;0;0;0;3;1;0;1;1;14;
Cody Zeller;null;1006;1;6;0;0;3;4;1;4;5;1;1;0;1;1;5;
Chris Douglas-Roberts;null;1412;6;8;2;3;6;7;0;4;4;2;1;1;1;0;20;
Bismack Biyombo;null;1152;2;3;0;0;2;3;0;4;4;0;1;0;1;1;6;
Jannero Pargo;null;418;2;5;2;5;2;2;0;1;1;1;0;0;0;1;8;
Jeff Adrien;null;229;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;","Nicolas Batum;F;1654;3;6;2;3;0;0;1;6;7;7;0;1;0;1;8;
LaMarcus Aldridge;F;1704;5;13;0;1;0;0;2;13;15;3;0;0;0;3;10;
Robin Lopez;C;1550;7;10;0;0;0;1;3;2;5;0;2;1;3;1;14;
Wesley Matthews;G;1616;8;11;5;6;4;5;1;0;1;2;0;0;2;2;25;
Damian Lillard;G;1762;9;13;6;6;0;0;0;0;0;7;2;0;2;2;24;
Mo Williams;null;1274;6;9;3;5;0;0;0;0;0;10;2;0;3;5;15;
Joel Freeland;null;803;3;7;0;0;0;0;1;2;3;0;1;0;0;2;6;
Dorell Wright;null;955;2;6;2;5;0;0;0;3;3;1;1;0;3;2;6;
Meyers Leonard;null;1176;4;7;0;2;0;0;2;8;10;2;0;0;1;2;8;
Will Barton;null;527;4;5;2;2;0;0;1;2;3;1;0;0;0;0;10;
Thomas Robinson;null;527;2;3;0;0;1;1;1;4;5;0;0;0;0;1;5;
Allen Crabbe;null;426;1;3;1;3;0;0;0;0;0;0;0;0;0;1;3;
Earl Watson;null;426;0;0;0;0;0;0;0;0;0;1;0;0;1;3;0;"
13-14_01-02_GSW-MIA,01-02,GSW-MIA,GSW,MIA,123-114,38-33,27-28,31-26,27-27,,"Andre Iguodala;F;2031;3;6;2;2;0;0;0;6;6;6;2;0;3;2;8;
David Lee;F;2145;13;17;0;0;6;7;3;11;14;3;0;0;3;4;32;
Andrew Bogut;C;1065;3;5;0;0;0;0;0;3;3;1;0;0;0;1;6;
Klay Thompson;G;2261;6;15;4;9;0;0;0;2;2;4;1;0;4;2;16;
Stephen Curry;G;2623;13;22;8;15;2;3;0;2;2;12;2;0;4;4;36;
Harrison Barnes;null;1645;4;6;1;2;6;7;0;3;3;0;0;0;0;3;15;
Draymond Green;null;1529;2;5;0;0;0;0;2;5;7;3;4;1;2;4;4;
Marreese Speights;null;638;1;4;0;0;2;2;1;1;2;0;0;0;0;3;4;
Kent Bazemore;null;262;1;1;0;0;0;0;0;1;1;0;0;0;2;1;2;
Toney Douglas;null;201;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;","LeBron James;F;2374;10;16;1;4;5;8;0;5;5;5;0;1;8;0;26;
Shane Battier;F;1352;4;5;3;4;0;0;2;0;2;1;0;0;0;2;11;
Chris Bosh;C;2025;6;16;1;2;6;7;0;4;4;0;1;0;1;1;19;
Dwyane Wade;G;2145;9;18;2;2;2;2;1;3;4;5;3;0;2;4;22;
Mario Chalmers;G;1914;6;10;1;3;4;5;1;6;7;3;3;0;0;3;17;
Ray Allen;null;1229;1;4;0;1;3;3;0;0;0;2;0;0;0;3;5;
Chris Andersen;null;1049;0;1;0;0;2;2;0;2;2;1;0;0;0;1;2;
Norris Cole;null;1523;2;4;0;2;3;3;0;2;2;3;2;0;0;1;7;
Michael Beasley;null;789;2;4;0;0;1;1;1;4;5;0;1;1;4;4;5;"
13-14_01-02_MEM-PHX,01-02,MEM-PHX,MEM,PHX,99-91,22-26,31-15,16-32,30-18,,"Tayshaun Prince;F;915;1;5;0;1;0;0;0;2;2;2;1;0;0;1;2;
Zach Randolph;F;2304;10;20;0;0;0;0;5;10;15;0;0;1;3;1;20;
Kosta Koufos;C;1217;5;10;0;0;0;0;4;5;9;0;0;0;1;1;10;
Tony Allen;G;758;1;2;0;0;0;3;0;0;0;1;1;0;1;0;2;
Mike Conley;G;1825;4;11;0;1;3;3;0;4;4;6;0;1;6;1;11;
Jerryd Bayless;null;1865;6;11;3;6;2;4;0;1;1;4;1;0;0;4;17;
James Johnson;null;1312;3;7;0;2;0;0;2;4;6;1;1;2;4;4;6;
Mike Miller;null;1965;4;7;0;1;3;3;1;6;7;4;0;0;0;1;11;
Ed Davis;null;1663;8;11;0;0;0;1;4;7;11;2;2;0;0;2;16;
Jon Leuer;null;576;2;8;0;3;0;0;3;1;4;0;0;0;0;1;4;","PJ Tucker;F;1945;5;13;1;2;1;1;3;2;5;4;0;0;1;1;12;
Channing Frye;F;2102;5;14;4;10;0;0;1;5;6;1;1;0;2;2;14;
Miles Plumlee;C;2077;4;8;0;0;0;0;2;10;12;0;1;3;1;2;8;
Gerald Green;G;1925;4;10;1;7;0;0;0;2;2;3;4;0;0;3;9;
Goran Dragic;G;2276;13;22;2;6;5;9;1;2;3;7;3;0;4;2;33;
Markieff Morris;null;1496;5;11;0;2;0;0;1;0;1;0;2;2;2;3;10;
Ish Smith;null;1177;1;6;0;0;1;1;3;3;6;2;0;0;2;1;3;
Marcus Morris;null;935;0;5;0;2;2;5;2;3;5;1;0;0;0;0;2;
Archie Goodwin;null;309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dionte Christmas;null;158;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;"
